,IN,NNS,VBP,VBN,NNP,TO,VB,DT,NN,CC,JJ,.,VBD,WP,``,CD,PRP,VBZ,POS,VBG,RB,""",""",WRB,PRP$,MD,WDT,JJR,:,JJS,WP$,RP,PDT,NNPS,EX,RBS,LRB,RRB,$,RBR,;,UH,FW
IN,0.013554167079903468,0.057993652682733314,9.917683229197659e-05,0.002785216040199676,0.21690799695857715,0.0016364177328176137,0.00019835366458395318,0.33218453502595124,0.08694502297596615,0.0007603557142384872,0.09873880128268703,0.0006777083539951734,0.0001900889285596218,0.0023802439750074383,0.0018843598135475552,0.06211775595887467,0.018694832887037587,0.0001900889285596218,0.0,0.03807563886409468,0.006967172468511355,0.0006115904658005224,0.0009752388508711032,0.03018281596085821,3.305894409732553e-05,0.0019256834936692121,0.004487751661211941,4.1323680121656914e-05,0.012942576614102946,8.264736024331383e-06,2.4794208072994148e-05,0.00046282521736255747,0.0009091209626764521,0.0005372078415815399,1.6529472048662766e-05,4.9588416145988295e-05,4.1323680121656914e-05,0.003710866474924791,5.785315217031968e-05,0.0,0.0,0.0
JJ,0.02591440085701168,0.2512498087027496,0.00026781615058919556,0.0014921185532826607,0.10174463092383819,0.014525837881956844,0.00010202520022445544,0.001645156353619344,0.4547773300005101,0.017701372238943018,0.08721879304188135,0.012944447278477784,0.000714176401571188,0.0005228791511503342,0.0031882875070142324,0.008621129418966485,0.00033158190072948016,0.0010585114523287253,0.00010202520022445544,0.0011605366525531805,0.00145385910319849,0.008608376268938428,0.0006759169514870173,0.0001275315002805693,0.00011477835025251237,6.376575014028466e-05,0.0006886701015150742,0.00028056930061725244,0.0007524358516553588,0.0,1.275315002805693e-05,2.550630005611386e-05,0.0007906953017395296,2.550630005611386e-05,7.651890016834157e-05,0.00026781615058919556,0.00010202520022445544,0.0005101260011222773,2.550630005611386e-05,0.00011477835025251237,0.0,0.0
CC,0.03609377635351661,0.07906054983977062,0.00978242536684095,0.025510204081632654,0.14306797099004892,0.006367009613762861,0.03288918873334458,0.11207623545285883,0.11490133243379996,0.0,0.14783268679372574,0.0,0.08795749704840614,0.0013071344240175409,0.0016022938100860179,0.03807556080283353,0.021335807050092765,0.031076066790352505,0.0,0.03343734187890032,0.028124472929667736,0.0034997470062405125,0.002234778208804183,0.021799628942486084,0.009360769101028841,0.00016866250632484398,0.004975543936582898,4.2165626581210996e-05,0.0011384719176926968,0.0,0.0,8.433125316242199e-05,0.0016444594366672289,0.002066115702479339,0.0005059875189745319,0.0,0.0,0.0011384719176926968,0.0008011469050430089,0.0,0.0,4.2165626581210996e-05
JJR,0.5793731041456016,0.11425682507583418,0.0023592854735422987,0.0010111223458038423,0.014155712841253791,0.011459386585776879,0.0006740815638692282,0.0016852039096730705,0.19514661274014156,0.006740815638692282,0.041456016177957536,0.012807549713515335,0.004044489383215369,0.0,0.0010111223458038423,0.0010111223458038423,0.0003370407819346141,0.0,0.0,0.0003370407819346141,0.0020222446916076846,0.007751937984496124,0.0003370407819346141,0.0,0.0006740815638692282,0.0,0.0,0.0003370407819346141,0.0,0.0003370407819346141,0.0,0.0,0.0,0.0,0.0,0.0003370407819346141,0.0,0.0,0.0003370407819346141,0.0,0.0,0.0
PRP,0.05000750863493017,0.001651899684637333,0.09911398107823997,0.0023276768283526056,0.0012764679381288481,0.021249436852380236,0.006532512389247635,0.012764679381288481,0.003378885718576363,0.009686139059918907,0.007358462231566301,0.027181258447214297,0.3575611953746809,0.00037543174650848477,0.00172698603393903,0.0009010361916203634,0.001501726986033939,0.214071181859138,0.0,0.001576813335335636,0.04858086799819793,0.010962606998047755,0.0006006907944135756,0.0006006907944135756,0.10617209791259949,0.0001501726986033939,0.0020273314311458177,0.0005256044451118786,0.0,0.0,0.007808980327376483,7.508634930169695e-05,7.508634930169695e-05,7.508634930169695e-05,0.00022525904790509084,0.0,7.508634930169695e-05,0.00037543174650848477,0.0011262952395254542,0.0003003453972067878,0.0,0.0
.,0.076561225983149,0.07978089523530764,4.1813886391670675e-05,0.0027597165018502646,0.2422696577533399,0.0005853944094833894,0.00014634860237084735,0.3041542096130125,0.02228680144676047,0.019067132194601828,0.09159331814095462,6.272082958750601e-05,2.0906943195835338e-05,0.0001672555455666827,0.016537392067905752,0.013401350588530451,0.06596140578286049,4.1813886391670675e-05,2.0906943195835338e-05,0.009303589722146725,0.031715832828082206,0.0,0.0013589513077292969,0.005644874662875541,0.0,4.1813886391670675e-05,0.0043695511279295855,4.1813886391670675e-05,0.0018398110012335096,0.0,0.0,6.272082958750601e-05,0.0006690221822667308,0.004787689991846292,0.0,4.1813886391670675e-05,4.1813886391670675e-05,0.0,0.004599527503083774,0.0,2.0906943195835338e-05,0.0
``,0.12258064516129032,0.03844086021505377,0.006720430107526882,0.0239247311827957,0.11182795698924732,0.020161290322580645,0.021774193548387097,0.11397849462365592,0.10403225806451613,0.04220430107526882,0.15134408602150537,0.006182795698924731,0.02258064516129032,0.00510752688172043,0.0034946236559139786,0.005913978494623656,0.05295698924731183,0.015860215053763442,0.0,0.0271505376344086,0.0478494623655914,0.0034946236559139786,0.003763440860215054,0.006720430107526882,0.006989247311827957,0.008064516129032258,0.002150537634408602,0.00456989247311828,0.0024193548387096775,0.00026881720430107527,0.00026881720430107527,0.00026881720430107527,0.0034946236559139786,0.0024193548387096775,0.00026881720430107527,0.001881720430107527,0.0013440860215053765,0.0,0.0016129032258064516,0.0,0.005913978494623656,0.0
VBG,0.15388235294117647,0.09976470588235294,0.00031372549019607844,0.029856209150326798,0.06854901960784314,0.06420915032679739,0.00047058823529411766,0.21830065359477124,0.10771241830065359,0.006274509803921568,0.08188235294117648,0.011450980392156862,0.0010457516339869282,0.0021437908496732025,0.0032941176470588237,0.03330718954248366,0.030013071895424837,0.0004183006535947712,0.0,0.00392156862745098,0.0174640522875817,0.00465359477124183,0.0008888888888888889,0.026928104575163397,0.00031372549019607844,0.0002091503267973856,0.00784313725490196,0.0005228758169934641,0.0005228758169934641,0.0,0.01887581699346405,0.0005228758169934641,0.0002091503267973856,0.0005228758169934641,0.0001045751633986928,0.0,5.22875816993464e-05,0.0022483660130718955,0.0012549019607843138,5.22875816993464e-05,0.0,0.0
RP,0.2461847389558233,0.0859437751004016,0.0,0.00040160642570281126,0.03815261044176707,0.07670682730923695,0.0,0.21927710843373494,0.0642570281124498,0.006024096385542169,0.06947791164658634,0.04136546184738956,0.00040160642570281126,0.00321285140562249,0.004016064257028112,0.017269076305220885,0.0008032128514056225,0.0008032128514056225,0.0,0.010843373493975903,0.01606425702811245,0.020883534136546186,0.004417670682730923,0.06345381526104418,0.0,0.0,0.00321285140562249,0.0,0.0012048192771084338,0.0,0.0,0.0008032128514056225,0.0,0.0,0.00040160642570281126,0.0,0.0,0.002008032128514056,0.0024096385542168677,0.0,0.0,0.0
DT,0.004702703800759746,0.07500964917626506,0.000396124078249741,0.0067442663578930265,0.1490035955877872,0.00040628110589717025,6.094216588457554e-05,0.0008531903223840576,0.4557458305401507,0.00026408271883316065,0.2497206817396957,0.0006602067970829016,0.0012899425112235156,0.001107116013569789,0.003697158063664249,0.021471956446665448,0.00025392569118573143,0.0017977938935949784,3.047108294228777e-05,0.005545737095496374,0.004438621081926585,0.0004265951611920288,1.0157027647429255e-05,0.00026408271883316065,0.00045706624413431655,9.14132488268633e-05,0.0030572653218762062,4.062811058971702e-05,0.007231803684969631,2.031405529485851e-05,7.10991935320048e-05,1.0157027647429255e-05,0.0016860665894732566,3.047108294228777e-05,0.0014422979259349543,5.078513823714628e-05,0.0,0.0013915127876978082,0.000518008410018892,0.0,0.0,0.0
VBP,0.06164129223913851,0.03502908775838594,0.0012377769525931427,0.3210793415026612,0.04177497215001857,0.02723109295704914,0.0005569996286669142,0.16289144696125757,0.026674093328382227,0.0010521104097041714,0.06207451417254611,0.004208441638816686,0.0015472211907414284,0.0003094442381482857,0.0026612204480752568,0.022156207451417255,0.045240747617279364,0.0017328877336303997,0.0,0.08200272310929571,0.0746379502413665,0.002351776209926971,0.0006188884762965714,0.006188884762965714,0.0009902215620745142,0.0001856665428889714,0.005941329372447085,0.00012377769525931428,0.0009902215620745142,0.0,0.002351776209926971,0.00012377769525931428,0.0001856665428889714,0.0025993316004456,0.0003094442381482857,0.0,0.0,0.0003713330857779428,0.0007426661715558856,0.0001856665428889714,0.0,0.0
JJS,0.12887277521423862,0.06855636123928807,0.003955174686882004,0.004614370468029005,0.015491100856954515,0.0023071852340145024,0.0003295978905735003,0.008899143045484509,0.2099538562953197,0.004614370468029005,0.062294001318391565,0.003955174686882004,0.0023071852340145024,0.0,0.000988793671720501,0.462425840474621,0.0006591957811470006,0.0,0.0,0.0042847725774555045,0.005603164139749505,0.004943968358602505,0.0003295978905735003,0.0003295978905735003,0.0,0.0,0.0,0.0003295978905735003,0.0,0.0,0.0,0.0,0.000988793671720501,0.0,0.0,0.0,0.0,0.002966381015161503,0.0,0.0,0.0,0.0
NNPS,0.11463704879016264,0.010710035700119,0.06902023006743356,0.002380007933359778,0.03014676715589052,0.0317334391114637,0.0015866719555731853,0.005553351844506148,0.03292344307814359,0.1174137247124157,0.013883379611265371,0.15708052360174535,0.08171360571201904,0.003966679888932963,0.006346687822292741,0.0003966679888932963,0.0015866719555731853,0.12296707655692185,0.01745339151130504,0.007933359777865925,0.014676715589051963,0.10115033716779057,0.001190003966679889,0.0,0.03451011503371678,0.0019833399444664813,0.0003966679888932963,0.006346687822292741,0.0003966679888932963,0.0,0.0,0.0,0.002380007933359778,0.0,0.0,0.0035700119000396666,0.0019833399444664813,0.0003966679888932963,0.0015866719555731853,0.0,0.0,0.0
TO,0.0033389705563505487,0.022071896275096484,0.0,0.0003469060318286284,0.07636269025627683,8.67265079571571e-05,0.6355752135640258,0.1316508390789645,0.027752482546290272,0.0004336325397857855,0.03607822731017735,8.67265079571571e-05,8.67265079571571e-05,0.0010840813494644639,0.001647803651185985,0.02367633667230389,0.002211525952907506,0.0,0.0,0.006981483890551147,0.00988682190711591,0.0005203590477429426,0.00021681626989289275,0.012358527383894887,0.0,0.0004336325397857855,0.002601795238714713,4.336325397857855e-05,4.336325397857855e-05,0.0,0.0,0.00013008976193573565,0.0004336325397857855,0.0,4.336325397857855e-05,0.0,0.0,0.0035557868262434413,0.0002601795238714713,0.0,0.0,0.0
RBR,0.15071090047393365,0.016113744075829384,0.004739336492890996,0.012322274881516588,0.05971563981042654,0.012322274881516588,0.004739336492890996,0.42843601895734595,0.021800947867298578,0.0037914691943127963,0.16777251184834124,0.061611374407582936,0.007582938388625593,0.0,0.0009478672985781991,0.002843601895734597,0.002843601895734597,0.0018957345971563982,0.0,0.0009478672985781991,0.02085308056872038,0.014218009478672985,0.0,0.0,0.0018957345971563982,0.0,0.0,0.0009478672985781991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009478672985781991,0.0,0.0,0.0,0.0,0.0,0.0
WRB,0.007326007326007326,0.10073260073260074,0.0004578754578754579,0.007783882783882784,0.09386446886446886,0.027930402930402932,0.0,0.2760989010989011,0.043498168498168496,0.0009157509157509158,0.09111721611721611,0.0009157509157509158,0.0009157509157509158,0.0,0.0004578754578754579,0.026556776556776556,0.2509157509157509,0.0,0.0,0.007783882783882784,0.009157509157509158,0.0018315018315018315,0.0,0.03296703296703297,0.0027472527472527475,0.0,0.006868131868131868,0.0,0.0013736263736263737,0.0,0.0,0.0,0.0009157509157509158,0.005036630036630037,0.0013736263736263737,0.0,0.0,0.0004578754578754579,0.0,0.0,0.0,0.0
;,0.0825242718446602,0.019417475728155338,0.0,0.009708737864077669,0.043689320388349516,0.009708737864077669,0.0048543689320388345,0.1796116504854369,0.08737864077669903,0.18446601941747573,0.05339805825242718,0.0,0.0,0.0,0.02912621359223301,0.019417475728155338,0.13106796116504854,0.0048543689320388345,0.0,0.009708737864077669,0.0825242718446602,0.0,0.0048543689320388345,0.019417475728155338,0.0,0.0,0.0,0.0,0.009708737864077669,0.0,0.0,0.0,0.0,0.0048543689320388345,0.0048543689320388345,0.0,0.0,0.0,0.0048543689320388345,0.0,0.0,0.0
MD,0.001147282374874516,0.0,0.0,0.0004302308905779435,0.0001434102968593145,0.002007744156030403,0.8243223863473398,0.000573641187437258,0.0007170514842965725,0.0,0.000286820593718629,0.0012906926717338304,0.0,0.0,0.003155026530904919,0.000573641187437258,0.001147282374874516,0.0001434102968593145,0.0,0.0,0.16205363545102539,0.0012906926717338304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001434102968593145,0.0,0.0,0.0,0.000573641187437258,0.0,0.0,0.0
RRB,0.13991163475699558,0.022091310751104567,0.016200294550810016,0.011782032400589101,0.041237113402061855,0.022091310751104567,0.0029455081001472753,0.008836524300441826,0.09720176730486009,0.08100147275405008,0.016200294550810016,0.15758468335787923,0.11929307805596466,0.0,0.0,0.0,0.0029455081001472753,0.0898379970544919,0.0,0.005891016200294551,0.011782032400589101,0.1134020618556701,0.007363770250368188,0.0,0.008836524300441826,0.007363770250368188,0.0,0.004418262150220913,0.0,0.0,0.0,0.0,0.0014727540500736377,0.0,0.0,0.0014727540500736377,0.0,0.0,0.0,0.008836524300441826,0.0,0.0
LRB,0.06342182890855458,0.01327433628318584,0.0,0.007374631268436578,0.5250737463126843,0.0029498525073746312,0.0,0.0471976401179941,0.0752212389380531,0.007374631268436578,0.022123893805309734,0.0,0.0014749262536873156,0.0058997050147492625,0.007374631268436578,0.17404129793510326,0.0014749262536873156,0.0,0.0,0.004424778761061947,0.022123893805309734,0.0,0.0,0.0014749262536873156,0.0,0.0014749262536873156,0.0014749262536873156,0.0,0.0,0.0,0.0,0.0,0.0014749262536873156,0.0,0.0,0.0,0.0,0.011799410029498525,0.0014749262536873156,0.0,0.0,0.0
:,0.11979823455233292,0.006305170239596469,0.0416141235813367,0.03278688524590164,0.03656998738965952,0.03278688524590164,0.0037831021437578815,0.029003783102143757,0.02395964691046658,0.08448928121059268,0.03278688524590164,0.0,0.09962168978562422,0.021437578814627996,0.0617906683480454,0.09709962168978563,0.013871374527112233,0.05926860025220681,0.0,0.04918032786885246,0.0807061790668348,0.0,0.007566204287515763,0.0,0.027742749054224466,0.02648171500630517,0.0012610340479192938,0.0012610340479192938,0.0025220680958385876,0.0,0.0012610340479192938,0.0,0.0025220680958385876,0.0,0.0012610340479192938,0.0,0.0,0.0,0.0012610340479192938,0.0,0.0,0.0
WDT,0.006219578150351541,0.015143320713899405,0.09789075175770687,0.0,0.018658734451054624,0.00027041644131963225,0.0005408328826392645,0.024878312601406164,0.005949161709031909,0.0,0.008653326122228232,0.0,0.3707409410492158,0.0,0.00027041644131963225,0.004326663061114116,0.03326122228231476,0.2641968631692807,0.0,0.0005408328826392645,0.03299080584099513,0.0027041644131963224,0.0005408328826392645,0.0008112493239588967,0.10843699296917253,0.0,0.002163331530557058,0.0,0.0,0.0,0.0,0.0,0.0005408328826392645,0.0,0.0,0.0,0.0,0.0,0.00027041644131963225,0.0,0.0,0.0
RBS,0.010135135135135136,0.05067567567567568,0.0033783783783783786,0.037162162162162164,0.016891891891891893,0.0,0.0033783783783783786,0.0,0.010135135135135136,0.0,0.7871621621621622,0.0033783783783783786,0.0033783783783783786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06418918918918919,0.0033783783783783786,0.0,0.0,0.0,0.0,0.0,0.0033783783783783786,0.0,0.0,0.0,0.0,0.0033783783783783786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
POS,0.0005330016878386781,0.0743537354534956,8.883361463977969e-05,0.0032868437416718487,0.1466642977702763,0.0,0.0,0.0005330016878386781,0.4019721062450031,0.0006218353024784578,0.3039886292973261,0.00026650084391933906,0.0004441680731988985,0.0,0.0033756773563116283,0.013325042195966953,0.0,0.00017766722927955937,0.0,0.007017855556542596,0.004885848805187883,0.0005330016878386781,0.0,0.00017766722927955937,0.0,0.00017766722927955937,0.002309673980634272,0.0,0.028426756684729503,0.0,0.0,0.0,0.0005330016878386781,0.0,0.0049746824198276625,0.0006218353024784578,8.883361463977969e-05,0.0005330016878386781,8.883361463977969e-05,0.0,0.0,0.0
PRP$,0.0005777007510109763,0.19329867128827266,0.0,0.003004043905257077,0.025765453495089543,0.00023108030040439053,0.0,0.0003466204506065858,0.5098786828422877,0.0003466204506065858,0.2362796071634893,0.00011554015020219527,0.0,0.00011554015020219527,0.003004043905257077,0.008896591565569035,0.0,0.00011554015020219527,0.0,0.0038128249566724438,0.0016175621028307336,0.0,0.00011554015020219527,0.0,0.0,0.0,0.0027729636048526864,0.0,0.007972270363951473,0.0,0.0,0.0,0.0,0.0,0.0011554015020219526,0.0,0.0,0.0005777007510109763,0.0,0.0,0.0,0.0
WP,0.0023603461841070024,0.016522423288749016,0.15184893784421716,0.0015735641227380016,0.011408339889850511,0.0003933910306845004,0.004327301337529505,0.022029897718332022,0.00944138473642801,0.0,0.0051140833988985055,0.0,0.4358772619984264,0.0,0.0007867820613690008,0.0003933910306845004,0.13257277734067663,0.13493312352478362,0.0,0.0,0.034225019669551535,0.0027537372147915028,0.0,0.0027537372147915028,0.02989771833202203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003933910306845004,0.0,0.0003933910306845004,0.0,0.0,0.0,0.0,0.0
EX,0.0015082956259426848,0.0,0.23076923076923078,0.0,0.0,0.0,0.0,0.0030165912518853697,0.0,0.0030165912518853697,0.0,0.0015082956259426848,0.3257918552036199,0.0,0.0,0.0,0.0030165912518853697,0.35444947209653094,0.0,0.0015082956259426848,0.012066365007541479,0.0015082956259426848,0.0,0.0,0.058823529411764705,0.0,0.0,0.0015082956259426848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015082956259426848,0.0,0.0,0.0
WP$,0.0,0.2727272727272727,0.0,0.0,0.020202020202020204,0.0,0.0,0.0,0.5656565656565656,0.0,0.12121212121212122,0.0,0.0,0.0,0.0,0.020202020202020204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UH,0.0,0.041666666666666664,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.125,0.0,0.0,0.20833333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.5416666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PDT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9795918367346939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02040816326530612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
$,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012184508268059183,0.0,0.0,0.0,0.0,0.9878154917319408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
